date	close
2022-03-28	3520.1101
2022-03-29	3563.8201
2022-03-30	3523.1699
2022-03-31	3492.8501
2022-04-01	3446.04
2022-04-04	3534.3799
2022-04-05	3490.6101
2022-04-06	3460.8101
2022-04-07	3478.5901
2022-04-08	3412.0901
2022-04-11	3302.6101
2022-04-12	3322.73
2022-04-13	3372.6899
2022-04-18	3262.3401
2022-04-19	3359.1299
2022-04-20	3340.55
2022-04-21	3362.1699
2022-04-22	3292.22
2022-04-25	3283.8301
2022-04-26	3206.8799
2022-04-27	3198.99
2022-04-28	3347.47
2022-04-29	3227.4199
2022-05-02	3229.73
2022-05-03	3220.9099
2022-05-04	3323.9099
2022-05-05	3162.7
2022-05-06	3176.1399
2022-05-09	3094.47
2022-05-10	3149.8101
2022-05-11	2971.79
2022-05-12	2865.1699
2022-05-13	2949.0701
2022-05-16	2912.1699
2022-05-17	2975.4299
2022-05-18	2819.5
2022-05-19	2735.24
2022-05-20	2720.96
2022-05-23	2830.3601
2022-05-24	2783.02
2022-05-25	2782.0901
2022-05-26	2847.6201
2022-05-27	2917.02
2022-05-30	2899.6599
2022-05-31	2936.23
2022-06-01	2946.1201
2022-06-02	2945.01
2022-06-03	2843.02
2022-06-06	2860.71
2022-06-07	2910.6899
2022-06-08	2896.0601
2022-06-09	2818.7
2022-06-10	2758.6499
2022-06-13	2702.3401
2022-06-14	2741.25
2022-06-15	2756.05
2022-06-16	2642.4299
2022-06-17	2683.03
2022-06-20	2675.0
2022-06-21	2738.1599
2022-06-22	2717.51
2022-06-23	2769.3
2022-06-24	2799.3899
2022-06-27	2814.4099
2022-06-28	2773.77
2022-06-29	2800.05
2022-06-30	2748.74
2022-07-01	2804.1101
2022-07-04	2784.6201
2022-07-05	2899.8
2022-07-06	2951.54
2022-07-07	2997.6201
2022-07-08	3006.1799
2022-07-11	3002.3
2022-07-12	3038.4099
2022-07-13	3021.6799
2022-07-14	3085.05
2022-07-15	3074.6101
2022-07-18	3014.1599
2022-07-19	3094.8301
2022-07-20	3146.3301
2022-07-21	3204.72
2022-07-22	3163.53
2022-07-25	3127.0701
2022-07-26	3097.8
2022-07-27	3190.8201
2022-07-28	3188.6899
2022-07-29	3318.1001
2022-08-01	3283.71
2022-08-02	3327.55
2022-08-03	3404.1499
2022-08-04	3367.5901
2022-08-05	3369.5801
2022-08-08	3342.3401
2022-08-09	3339.74
2022-08-10	3381.01
2022-08-11	3366.46
2022-08-12	3411.9199
2022-08-15	3436.1499
2022-08-16	3442.1001
2022-08-17	3485.51
2022-08-18	3505.77
2022-08-19	3459.02
2022-08-22	3371.8899
2022-08-23	3343.04
2022-08-24	3336.79
2022-08-25	3377.3401
2022-08-26	3288.01
2022-08-29	3241.8201
2022-08-30	3188.1001
2022-08-31	3181.3899
2022-09-01	3178.05
2022-09-02	3102.75
2022-09-05	3152.0
2022-09-06	3105.5601
2022-09-07	3122.28
2022-09-08	3076.78
2022-09-09	3134.3701
2022-09-12	3246.8
2022-09-13	3092.8401
2022-09-14	3103.3999
2022-09-15	3052.5601
2022-09-19	3068.8701
2022-09-20	3138.22
2022-09-21	3093.97
2022-09-22	3064.1699
2022-09-23	3029.8
2022-09-26	3077.4299
2022-09-27	3096.0
2022-09-28	3020.7
2022-09-29	2872.1699
2022-09-30	2810.25
2022-10-03	2855.4199
2022-10-04	2908.95
2022-10-05	2935.1799
2022-10-06	2927.9099
2022-10-07	2816.0901
2022-10-10	2816.3401
2022-10-11	2787.51
2022-10-12	2770.6399
2022-10-13	2861.76
2022-10-14	2781.6699
2022-10-17	2850.2
2022-10-18	2869.0901
2022-10-19	2884.1599
2022-10-20	2874.4299
2022-10-21	2937.97
2022-10-24	2977.1399
2022-10-25	3022.24
2022-10-26	2973.1499
2022-10-27	2874.5801
2022-10-28	3082.9199
2022-10-31	3034.5801
2022-11-01	2975.0
2022-11-03	2743.3501
2022-11-04	2691.2
2022-11-07	2702.98
2022-11-08	2740.0
2022-11-09	2639.04
2022-11-10	2826.1201
2022-11-11	2914.28
2022-11-14	2875.8301
2022-11-15	2905.21
2022-11-16	2875.0
2022-11-17	2916.1499
2022-11-18	2945.6001
2022-11-22	2915.03
2022-11-23	2920.01
2022-11-24	2901.1101
2022-11-25	2867.6699
2022-11-28	2780.3999
2022-11-29	2707.46
2022-11-30	2844.0701
2022-12-01	2845.79
2022-12-02	2859.51
2022-12-05	2890.9199
2022-12-06	2812.03
2022-12-07	2769.99
2022-12-08	2799.8201
2022-12-09	2814.6399
2022-12-13	2845.77
2022-12-14	2810.8501
2022-12-15	2692.0
2022-12-16	2675.25
2022-12-19	2608.54
2022-12-20	2616.6499
2022-12-21	2657.7
2022-12-22	2582.6799
2022-12-23	2552.04
2022-12-26	2630.3701
2022-12-27	2541.6799
2022-12-28	2447.4099
2022-12-29	2530.5801
2022-12-30	2527.6799
2023-01-02	2575.0
2023-01-03	2429.6201
2023-01-04	2438.6299
2023-01-05	2416.01
2023-01-06	2480.01
2023-01-09	2494.23
2023-01-10	2488.26
2023-01-11	2520.6699
2023-01-12	2511.0801
2023-01-13	2532.45
2023-01-16	2513.6799
2023-01-17	2533.0901
2023-01-18	2550.0801
2023-01-19	2568.79
2023-01-20	2599.52
2023-01-23	2653.75
2023-01-24	2672.6499
2023-01-25	2666.1499
2023-01-26	2702.1899
2023-01-27	2745.49
2023-01-30	2688.4199
2023-01-31	2710.97
2023-02-01	2718.8701
2023-02-02	2796.8201
2023-02-03	2935.22
2023-02-07	2921.6799
2023-02-08	2875.6101
2023-02-09	2833.21
2023-02-10	2812.23
2023-02-13	2854.76
2023-02-14	2839.0901
2023-02-15	2882.54
2023-02-16	2849.0801
2023-02-17	2795.24
2023-02-20	2790.0901
2023-02-21	2745.01
2023-02-22	2728.01
2023-02-23	2747.3201
2023-02-24	2685.55
2023-02-27	2712.98
2023-02-28	2714.75
2023-03-01	2631.0701
2023-03-02	2647.25
2023-03-03	2709.51
2023-03-06	2773.1799
2023-03-07	2747.0701
2023-03-08	2747.1399
2023-03-09	2759.8201
2023-03-10	2734.72
2023-03-13	2857.1699
2023-03-14	2815.71
2023-03-15	2900.0
2023-03-16	2922.6899
2023-03-17	2940.0
2023-03-21	2963.5
2023-03-22	2949.04
2023-03-23	2966.1101
2023-03-24	2953.0
2023-03-27	2914.1499
2023-03-28	2868.0601
2023-03-29	2908.77
2023-03-30	2939.4399
2023-03-31	2963.05
2023-04-03	2998.04
2023-04-04	2992.5601
2023-04-05	2990.74
2023-04-10	2939.25
2023-04-11	2921.0601
2023-04-12	2897.6001
2023-04-13	2980.8201
2023-04-14	2981.99
2023-04-17	2978.97
2023-04-18	3002.0801
2023-04-19	3017.9399
2023-04-20	2998.54
2023-04-21	2969.0
2023-04-24	2975.0901
2023-04-25	2969.47
2023-04-26	2964.8101
2023-04-27	3038.0701
2023-04-28	3042.1799
2023-05-02	3036.0
2023-05-03	2999.95
2023-05-04	2971.8799
2023-05-05	3085.8601
2023-05-08	3086.6499
2023-05-09	3052.3701
2023-05-10	3049.5
2023-05-11	3053.5
2023-05-12	3036.3301
2023-05-15	2996.8601
2023-05-16	3014.0
2023-05-17	3031.4299
2023-05-18	3095.3401
2023-05-19	3109.8999
2023-05-22	3117.8201
2023-05-23	3083.21
2023-05-24	3065.6499
2023-05-25	3094.0601
2023-05-26	3092.0801
2023-05-29	3093.0801
2023-05-30	3125.73
2023-05-31	3161.8201
2023-06-01	3159.74
2023-06-02	3175.1799
2023-06-05	3130.1299
2023-06-06	3118.0701
2023-06-07	3085.3999
2023-06-08	3140.5801
2023-06-09	3130.8799
2023-06-12	3169.4099
